model_name,developer,model_type,wh_per_query,wh_per_100_queries,co2_g_per_query,co2_g_per_100_queries,led_10W_seconds,wh_per_1000_queries,co2_g_per_1000_queries
t5 base,Google,Text,3.436e-05,0.003436,1.433e-05,0.001433,0.0124,0.03436,0.01433
t5 small,Google,Text,2.064e-05,0.002064,8.6e-06,0.000861,0.0074,0.02064,0.00861
Qwen3 0.6B,Alibaba,Reasoning,0.00054699,0.054699,0.00022809,0.022809,0.1969,0.54699,0.22809
Hunyuan 1.8B,Tencent,Reasoning,0.00147896,0.147896,0.00061673,0.061673,0.5324,1.47896,0.61673
GPT OSS 120B（High） ,OpenAI,Reasoning,0.0065863,0.65863,0.00274649,0.274649,2.3711,6.5863,2.74649
GPT OSS 120B(Medium) ,OpenAI,Reasoning,0.00531293,0.531293,0.00221549,0.221549,1.9127,5.31293,2.21549
GPT OSS 120B(Low) ,OpenAI,Reasoning,0.00850362,0.850362,0.00354601,0.354601,3.0613,8.50362,3.54601
Phi 4 Reasoning+,Microsoft,Reasoning,0.00946161,0.946161,0.00394549,0.394549,3.4062,9.46161,3.94549
GPT OSS 20B（Medium) ,OpenAI,Reasoning,0.00412211,0.412211,0.00171892,0.171892,1.484,4.12211,1.71892
GPT OSS 20B (Low),OpenAI,Reasoning,0.00113559,0.113559,0.00047354,0.047354,0.4088,1.13559,0.47354
GPT OSS 20B (High) ,OpenAI,Reasoning,0.00551201,0.551201,0.00229851,0.229851,1.9843,5.51201,2.29851
Qwen3 235B A22B,Alibaba,Reasoning,0.00030053,0.030053,0.00012532,0.012532,0.1082,0.30053,0.12532
Qwen3 30B A3B,Alibaba,Reasoning,0.01113006,1.113006,0.00464124,0.464124,4.0068,11.13006,4.64124
EXAONE 4.0 32B,LG AI,Reasoning,0.01899236,1.899236,0.00791981,0.791981,6.8372,18.99236,7.91981
DS R1 Distill 32B,DeepSeek,Reasoning,0.00478983,0.478983,0.00199736,0.199736,1.7243,4.78983,1.99736
SmolLM3 3B,HuggingFace,Reasoning,0.01279122,1.279122,0.00533394,0.533394,4.6048,12.79122,5.33394
Gemma 3 4B,Google,Reasoning,0.01181118,1.181118,0.00492526,0.492526,4.252,11.81118,4.92526
DS R1 Distill 70B,DeepSeek,Reasoning,0.00762653,0.762653,0.00318026,0.318026,2.7456,7.62653,3.18026
Qwen3 Next 80B A3B,Alibaba,Reasoning,0.00026673,0.026673,0.00011123,0.011123,0.096,0.26673,0.11123
